image,q,bitrate_bpp,psnr_db
seagull,0.10000000,8.27569580,75.24308967
seagull,0.20000000,7.31900024,69.02369719
seagull,0.50000000,5.98870850,61.14310271
seagull,1.00000000,5.02685547,55.15287867
seagull,2.00000000,3.98956299,49.26916623
seagull,4.00000000,2.90792847,43.44159957
seagull,8.00000000,1.68161011,38.09415643
seagull,16.00000000,0.70758057,33.16262739
seagull,32.00000000,0.28976440,27.81488931
seagull,64.00000000,0.10427856,22.00270844
seagull,128.00000000,0.03683472,16.96175433
watermill,0.10000000,10.08758545,75.02062362
watermill,0.20000000,9.11499023,68.93203864
watermill,0.50000000,7.80017090,61.21132797
watermill,1.00000000,6.80838013,55.03929549
watermill,2.00000000,5.79043579,49.10400664
watermill,4.00000000,4.76937866,43.18074408
watermill,8.00000000,3.71554565,37.36338934
watermill,16.00000000,2.56546021,31.38217825
watermill,32.00000000,1.48229980,25.86768941
watermill,64.00000000,0.67227173,20.49907945
watermill,128.00000000,0.22827148,16.24282293
pirate,0.10000000,9.63867188,74.84047763
pirate,0.20000000,8.63351440,69.11337685
pirate,0.50000000,7.29113770,60.97628448
pirate,1.00000000,6.28713989,55.12304231
pirate,2.00000000,5.26278687,48.90181190
pirate,4.00000000,4.20721436,43.01181011
pirate,8.00000000,3.05361938,37.12294802
pirate,16.00000000,1.73770142,31.51487614
pirate,32.00000000,0.78311157,26.24593216
pirate,64.00000000,0.31420898,21.72265059
pirate,128.00000000,0.08868408,17.21405493
